knot_name,crossing_count,fox_determinant,log_fox_determinant,maximum_tait_spectral_radius,jsj_hyperbolic_volume_numeric,length_cutoff,length_spectrum_retry_count,length_spectrum_elapsed_seconds,length_spectrum_status,length_spectrum_record_count,length_spectrum_multiplicity_count,systole_numeric,second_to_first_length_ratio,mean_short_length,short_length_standard_deviation,short_length_cv,finite_counting_entropy_proxy,twist_angle_entropy_8bin,twist_angle_resultant,twist_angle_max_sector_fraction,short_spectrum_fingerprint,geodesic_count_le_1_5,geodesic_count_le_2_0,geodesic_count_le_2_5,compressed_invariant_baseline_loocv_prediction,compressed_invariant_baseline_absolute_error,systole_augmented_loocv_prediction,systole_augmented_absolute_error,compact_geometry_augmented_loocv_prediction,compact_geometry_augmented_absolute_error,full_local_angular_augmented_loocv_prediction,full_local_angular_augmented_absolute_error,systole_absolute_error_reduction,full_stack_absolute_error_reduction
4_1,4,5,1.6094379124341003,5.0,2.029883212819307,3.0,0,0.007340599986491725,numerical_unverified,16,37,1.0870701449957387,1.0000000000000004,2.4140396142111706,0.5273576417044455,0.21845442742528018,1.734601055388107,0.813614528202918,0.7282938823308996,0.2702702702702703,1.00000000:1.72276845:1|1.00000000:1.72276845:1|1.52969512:2.39212379:2|1.52969512:2.39212379:2|1.58693463:0.92183893:1,2,8,16,1.9457158003302677,0.08416741248903925,2.180116685808393,0.15023347298908618,2.1474869994998205,0.11760378668051352,2.0235097031159572,0.006373509703349711,-0.06606606050004693,0.07779390278568954
5_2,5,7,1.9459101490553132,7.0,2.828122088330783,3.0,0,0.008825099997920915,numerical_unverified,17,29,0.5623991486459231,2.2418313052389296,2.2422777359211485,0.5576663528821068,0.24870529816548895,1.5581446180465501,0.9064992692838629,0.6873987600856849,0.2413793103448276,1.00000000:2.81543089:1|2.24183131:1.97804689:2|2.82409625:1.67347167:1|3.00000000:2.81543089:2|3.20531535:1.37732294:1,3,7,18,2.6638438706606165,0.1642782176701667,2.479222665661193,0.3488994226695903,2.2561382895833626,0.5719837987474206,2.4912525836425266,0.3368695046882566,-0.18462120499942358,-0.1725912870180899
6_1,6,9,2.1972245773362196,8.999999999999998,3.1639632288831443,3.0,0,0.015512099998886697,numerical_unverified,19,33,0.3306355216310465,3.7403261728995645,2.3335945157955904,0.5854046165581733,0.25085961275435714,1.4469189829363263,0.874110658110015,0.6239508721612591,0.3333333333333333,1.00000000:2.74516418:1|3.74032617:2.19190670:2|5.46874027:1.70189421:1|5.52168838:2.97336108:2|5.64629567:0.61550563:2,3,9,16,3.0307134158737514,0.13324981300939287,2.9110674055840575,0.2528958232990868,2.8187391929708863,0.34522403591225803,2.7037412144763886,0.4602220144067557,-0.1196460102896939,-0.3269722013973628
6_2,6,11,2.3978952727983707,7.732050807568877,4.400832516123044,3.0,0,0.011191700003109872,numerical_unverified,20,35,0.6123703878995347,1.8008740294315293,2.3299097387286736,0.505184596331433,0.21682582287805252,1.8971199848858815,0.9255829444327284,0.7714276485306395,0.22857142857142856,1.00000000:3.10808726:1|1.80087403:2.46495848:1|2.62927577:1.53673115:2|3.11997591:2.82838999:2|3.42431751:0.96068368:2,2,6,19,4.452111669925687,0.051279153802642696,4.291811345768787,0.10902117035425718,4.315358549725431,0.08547396639761295,4.590602343059972,0.1897698269369279,-0.05774201655161448,-0.1384906731342852
6_3,6,13,2.5649493574615367,5.732050807568877,5.693021091281301,3.0,0,0.015966899998602457,numerical_unverified,26,50,1.2779273293770275,1.0000000000007052,2.5614713159705462,0.40286269919637707,0.15727784913481713,1.609437912434101,0.6709595631140105,0.7451997871485642,0.48,1.00000000:2.14394682:1|1.00000000:2.14394682:1|1.50223886:2.26762854:1|1.50223886:2.26762854:1|1.59639139:2.93850952:2,2,4,14,6.0637411899194955,0.3707200986381949,6.160821712766139,0.46780062148483825,6.48902085297821,0.7959997616969092,6.286849811463573,0.5938287201822723,-0.09708052284664337,-0.2231086215440774
7_2,7,11,2.3978952727983707,11.000000000000004,3.3317442316411157,3.0,0,0.023830699996324256,numerical_unverified,20,36,0.21710146498841373,5.288701990627795,2.398033754364022,0.611042803009201,0.25480992579741835,1.446918982936326,0.8917015048499829,0.6543528981198603,0.25,1.00000000:2.26144182:1|5.28870199:2.15675827:2|8.04040471:3.02049851:2|8.82813231:1.72836310:1|9.04662534:1.65679754:1,3,7,16,3.1480982168432634,0.18364601479785225,3.2406382315247795,0.09110600011633618,3.201204854987144,0.13053937665397175,3.355644739184892,0.02390050754377615,0.09254001468151607,0.1597455072540761
7_3,7,13,2.5649493574615367,9.162277660168373,4.592125697027062,3.0,0,0.013474999999743886,numerical_unverified,22,39,0.49585384687395245,2.0737274381729005,2.4098169321098237,0.5416088020551436,0.22475101524868057,1.8971199848858817,0.7861406203407285,0.6990170732895132,0.38461538461538464,1.00000000:2.86284148:1|2.07372744:2.66309156:1|3.54427115:1.79966115:2|3.71967677:0.97547982:2|3.82789807:2.50891699:2,2,8,19,4.684243731834479,0.09211803480741665,4.627267971080908,0.035142274053845846,4.658326204683055,0.06620050765599306,4.5599233767304845,0.03220232029657755,0.0569757607535708,0.0599157145108391
7_4,7,15,2.70805020110221,9.000000000000002,5.137941201873417,3.0,0,0.00903929999913089,numerical_unverified,12,36,0.6545044131847584,2.7690601902199723,2.3922306622061695,0.5321915122390344,0.22246663778995093,1.466337068793427,0.8348978069430468,0.7116126216694723,0.2777777777777778,1.00000000:3.04403773:2|2.76906019:1.39605733:4|3.34913581:1.16996476:2|3.35444844:1.29285726:4|3.82937036:2.30020182:4,2,6,12,5.369814203732037,0.23187300185862014,5.382395536643893,0.2444543347704755,5.2938674101271594,0.15592620825374226,5.094012456681879,0.043928745191538,-0.01258133291185537,0.18794425666708214
7_5,7,17,2.833213344056216,8.156325174658658,6.443537380850574,3.0,0,0.012661600005230866,numerical_unverified,26,48,0.8360672248427061,1.751507411212278,2.5377346256149544,0.4327971139889937,0.17054466988805675,1.6094379124341012,0.9374419010597675,0.6969580650014814,0.22916666666666666,1.00000000:2.84588361:1|1.75150741:2.01705292:1|1.89837078:2.70750017:1|2.06466226:2.12542122:2|2.46706885:1.17071558:1,2,5,14,6.245355089316444,0.19818229153413025,6.227721278444116,0.21581610240645865,6.536416304385673,0.09287892353509886,6.464990589132904,0.021453208282329328,-0.017633810872328404,0.17672908325180092
7_6,7,19,2.9444389791664403,6.903211925911554,7.084925953510834,3.0,0,0.019837800005916506,numerical_unverified,23,42,1.191390146328299,1.0057438773808758,2.509647846206304,0.4143849592034013,0.16511677518015294,1.734601055388107,0.9575564523033444,0.7236462418043811,0.16666666666666666,1.00000000:2.38315027:1|1.00574388:3.03425595:1|1.33945838:1.89553740:1|1.67878566:1.31654980:1|1.68087461:2.98045787:2,2,3,16,7.274994001826295,0.1900680483154611,7.3400401373001065,0.25511418378927253,7.469590591700625,0.3846646381897907,7.806645527919135,0.7217195744083007,-0.06504613547381144,-0.5316515260928396
7_7,7,21,3.044522437723423,7.000000000000003,7.643375172359954,3.0,1,0.04067719999875408,numerical_unverified,12,37,1.272605832951412,1.3897086349385528,2.5054926705962695,0.4249049832971243,0.1695893938480384,1.386294361119891,0.9200052616682924,0.6324904147183942,0.21621621621621623,1.00000000:2.24961803:2|1.38970863:2.64865069:1|1.62430733:3.08687343:4|1.69497950:2.25349950:2|1.72528875:0.95747414:2,2,3,11,7.650008161781895,0.00663298942194146,7.774923744271693,0.13154857191173974,7.7657261437260345,0.12235097136608086,7.787479581432537,0.14410440907258337,-0.12491558248979828,-0.1374714196506419
